Feature 1,Feature 2,Cluster
20.838876945621184,-8.536181270498762,4
18.742653039676036,8.45221829982085,7
1.6426733290571087,-12.00302745972304,3
-2.751974969455744,-12.38759037800722,0
-19.697816830209263,-20.20996701480857,6
-5.433118033531031,-13.49020515096406,0
-9.473315489408204,17.89670210245149,2
-18.140348368505123,-20.199677632257448,6
2.532088469636215,-9.86324118436378,3
3.4244172112087274,-11.454129574979632,3
-19.0941016129523,-17.745370863130717,6
3.8097013195268987,-2.0961258376216163,1
18.749665691791453,9.764732234828097,7
2.9208043982692806,-4.5061203574290705,1
19.063022471169862,10.566480165078309,7
-5.078642853560923,-11.013522781931064,0
2.0978807048972024,-11.397916800663285,3
-14.111942934593815,19.568449279669057,5
4.265159503459121,-3.445211812895149,1
5.036709573037139,-3.747265984402358,1
-16.291600682783756,19.726381523608186,5
-10.184640811898353,18.576456781985595,2
4.3066628436910666,-3.1068276474531493,1
-10.883299954390477,18.35428387261989,2
-13.587562615016182,19.527871496329748,5
19.069110814354644,9.679290996212147,7
3.262938003915313,-3.864404303425869,1
3.782662065971233,-2.5835825659151985,1
-15.854100665043179,19.60020244519656,5
-16.142045809517516,20.055871846218587,5
5.243516958250341,-3.0006783188301265,1
-21.157793341397152,-20.828595558262247,6
16.139534687144835,8.806368657066148,7
-18.748051878409598,-18.00112204824392,6
-15.292523612089777,17.101422693521684,5
-10.276131650520622,18.84779285045173,2
-14.18048724485407,20.946140047381405,5
-18.612541805265288,-19.579714240164495,6
-9.421747381465249,18.680373616237976,2
-18.249681791912103,-18.869687636965935,6
-19.87104941016039,-20.15802744772816,6
3.4467219433076517,-3.5268667272104146,1
-4.211438669539713,-13.035687788216121,0
-16.00068005222523,17.849855568103607,5
2.9189868710379883,-12.258567227425504,3
-3.645869953633121,-15.16591580711674,0
18.146344448310682,7.648819826626175,7
21.763077096228717,-9.283184255921649,4
-15.339454241628504,18.587480937438148,5
4.706088368317953,-2.3776960939000436,1
0.5956148405726314,-11.808557751120949,3
-15.100239768765823,19.430999519164015,5
1.4692844813564623,-10.694868998231392,3
19.46509152831744,-10.918638343378124,4
